artist,total_weeks,count
BRIAN & MICHAEL,3,1
BRIAN McFADDEN,1,1
BRIAN POOLE & THE TREMELOES,3,1
BRIAN POTTER & ANDY PIPKIN,3,1
BRITNEY SPEARS,8,6
BROS,2,1
BROTHERHOOD OF MAN,8,3
BRUNO MARS,13,5
BRYAN ADAMS,17,2
BUBBLER RANX,1,1
BUCKS FIZZ,6,3
BUDDY HOLLY,3,1
BUGGLES,1,1
BUSTA RHYMES,3,1
BUSTED,5,4
BYRDS,2,1
CALVIN HARRIS,17,8
CAMILA CABELLO,5,1
CAPTAIN SENSIBLE,2,1
CARL DOUGLAS,3,1
CARLY RAE JEPSEN,4,1
CARON WHEELER,4,1
CASCADA,2,1
CASSANDRA,1,1
CEE LO GREEN,2,1
CELINE DION,9,2
CHAKA DEMUS & PLIERS,2,1
CHAKA KHAN,3,1
CHANCE THE RAPPER,1,1
CHARLENE,1,1
CHARLES & EDDIE,2,1
CHARLES AZNAVOUR,4,1
CHARLI XCX,1,1
CHARLIE PUTH,3,2
CHEF,1,1
CHEMICAL BROTHERS,2,2
CHER,15,4
CHER LLOYD,1,1
CHERYL,6,5
CHESNEY HAWKES,5,1
CHICAGO,3,1
CHICANE,1,1
CHICO,2,1
CHICORY TIP,3,1
CHIPMUNK,1,1
CHRIS BROWN,1,1
CHRIS DE BURGH,3,1
CHRIS FARLOWE,1,1
CHRIS WILLIS,1,1
CHRISSIE HYNDE,2,2
CHRISTIE,8,2
CHRISTINA AGUILERA,7,4
CHROME,5,2
CHUCK BERRY,4,1
CIARA,1,1
CILLA BLACK,7,2
CLASH,2,1
CLEAN BANDIT,14,3
CLIFF RICHARD,46,14
CLIVE DUNN,3,1
COCKNEY REBEL,2,1
CODY WISE,1,1
COLDPLAY,2,2
COLOR ME BADD,3,1
COMIC RELIEF,1,1
COMMODORES,5,1
COMMONWEALTH BAND,1,1
COMMUNARDS,4,1
CONNIE FRANCIS,12,2
CONWAY TWITTY,5,1
COOLIO LV,2,1
CORNERSHOP,1,1
CORRS,1,1
COVER DRIVE,1,1
CRAIG DAVID,2,2
CRAIG DOUGLAS,4,1
CRAZY FROG,4,1
CRAZY WORLD OF ARTHUR BROWN,1,1
CREEDENCE CLEARWATER REVIVAL,3,1
CRICKETS,3,1
CROWD,2,1
CULTURE BEAT,4,1
CULTURE CLUB,9,2
DCUP,1,1
D:REAM,4,1
DADDY YANKEE,12,1
DAFT PUNK,4,1
DANA,2,1
DANIEL BEDINGFIELD,5,3
DANNY WILLIAMS,2,1
DAPPY,1,1
DARIUS,2,1
DAVE ANSEL COLLINS,2,1
DAVE CLARK FIVE,2,1
DAVE DEE,1,1
DAVE EDMUNDS,6,1
DAVE STEWART,4,1
DAVID BOWIE,13,5
DAVID CASSIDY,5,2
DAVID ESSEX,6,2
