artist,total_weeks,track_count,artistId,imageUrl,imageWidth,imageHeight
BAZ LUHRMANN,1,1,7HhTERkBV4Ot14KphgBfSh,https://i.scdn.co/image/39c396d7ca343eeeaabef37b73b8442cb976de80,64,64
BEACH BOYS,3,2,3oDbviiivRWhXwIE8hxkVV,https://i.scdn.co/image/4978bd9b1e38b8e5dca74abb730cb95f72c6b20e,160,160
BEATLES,69,17,3WrFJ7ztbogyGnTHbHJFl2,https://i.scdn.co/image/b7d99ec41485c47e8cfc0401de182b948b5f9d49,160,160
BEATS INTERNATIONAL,4,1,6C5gMdsVmZHJG6yJuC68sp,https://i.scdn.co/image/70730a6bf600c9e3de1c9e47c5e18c9b6e1d3303,199,137
BEAUTIFUL SOUTH,1,1,4fomCZiFUMX73KJ0YQ0V90,https://i.scdn.co/image/fc802ff8b723897f4e7cd4cc0ecd42ead9f3451c,200,201
BEBE WINANS,1,1,6D9xBdOOyGHqOam9OShAWl,https://i.scdn.co/image/57dec080b9325d409320b71e2740d7bdf570992d,200,266
BECKY HILL,1,1,4EPJlUEBy49EX1wuFOvtjK,https://i.scdn.co/image/833b53478fbfcac5d2189d0c831cb9ccdaf3bdda,160,160
BEE GEES,13,5,1LZEQNv7sE11VDY3SdxQeN,https://i.scdn.co/image/1f363042bdd59e0f80cb7b9cac1b312f9389b019,200,147
BELINDA CARLISLE,2,1,7xkAwz0bQTGDSbkofyQt3U,https://i.scdn.co/image/b99394e93df63ef053b02dc39382fa3fdbb63b83,200,200
BEN E. KING,3,1,3plJVWt88EqjvtuB4ZDRV3,https://i.scdn.co/image/48e0bc961b3644ff379274161608e99dae724ac9,200,237
BEN HAENOW,1,1,2eHEzcBykQCBbtWvYLjHHE,https://i.scdn.co/image/d923c38a4af835bf3bcc4e04764d5b05836f7fd0,160,160
BENNY HILL,4,1,2Qex50xFT7kAjim1jimBWV,https://i.scdn.co/image/e024a9b783066719e612be84f8637c874f718a39,64,64
BERLIN,4,1,2aS6jYh7ysTL1ZUsHneNgM,https://i.scdn.co/image/002701d8a9897a9e6d7306d012da948a5998f5c6,200,200
BEYONCE,10,5,6vWDO969PvNqNYHIOW5v0m,https://i.scdn.co/image/ac2280a08e63bcb88f71bd3697fdc103b322ed9d,200,200
